FFP_DATE,LOAD_TIME,FLIGHT_COUNT,SEG_KM_SUM,LAST_TO_END,avg_discount
2006/11/2,2014/3/31,210,580717,1,0.961639043
2007/2/19,2014/3/31,140,293678,7,1.25231444
2007/2/1,2014/3/31,135,283712,11,1.254675516
2008/8/22,2014/3/31,23,281336,97,1.090869565
2009/4/10,2014/3/31,152,309928,5,0.970657895
2008/2/10,2014/3/31,92,294585,79,0.967692483
2006/3/22,2014/3/31,101,287042,1,0.965346535
2010/4/9,2014/3/31,73,287230,3,0.962070222
2011/6/7,2014/3/31,56,321489,6,0.828478237
2010/7/5,2014/3/31,64,375074,15,0.708010153
2010/11/18,2014/3/31,43,262013,22,0.988658044
2004/11/13,2014/3/31,145,271438,6,0.95253487
2006/11/23,2014/3/31,29,321529,67,0.799126984
2006/10/25,2014/3/31,118,179514,3,1.398381742
2010/2/1,2014/3/31,50,270067,2,0.921984841
2008/3/28,2014/3/31,22,234721,65,1.026084586
2010/7/15,2014/3/31,101,172231,7,1.3865249
2010/11/10,2014/3/31,40,284160,45,0.837844243
2006/4/6,2014/3/31,64,169358,2,1.401596264
2011/8/29,2014/3/31,38,332896,24,0.70828541
2008/7/30,2014/3/31,106,167113,4,1.369404116
2011/6/7,2014/3/31,23,214590,6,1.061630924
2005/4/10,2014/3/31,94,305250,23,0.741803833
2010/4/13,2014/3/31,20,222380,74,1.004904443
2010/2/14,2014/3/31,44,281837,17,0.787308444
2010/10/14,2014/3/31,62,243674,17,0.902990019
2007/2/1,2014/3/31,213,187917,3,1.146354614
2005/1/15,2014/3/31,74,148685,11,1.433364428
2006/1/7,2014/3/31,101,159129,18,1.33816985
2008/6/16,2014/3/31,87,149254,11,1.424714581
2006/4/11,2014/3/31,53,144076,2,1.469224298
2004/11/25,2014/3/31,95,149053,8,1.414895104
2005/4/11,2014/3/31,131,220948,16,0.944884271
2006/3/20,2014/3/31,95,148227,3,1.398640194
2006/12/1,2014/3/31,47,285144,3,0.725685618
2009/10/13,2014/3/31,25,220389,108,0.937899941
2005/2/13,2014/3/31,24,189813,34,1.087220053
2006/3/30,2014/3/31,54,141012,125,1.462104927
2007/5/8,2014/3/31,166,229303,1,0.890172305
2009/2/27,2014/3/31,81,140819,34,1.429179443
2006/4/25,2014/3/31,98,137876,2,1.458541443
2011/1/18,2014/3/31,35,201141,3,0.998554546
2007/1/4,2014/3/31,95,140803,3,1.396985007
2010/5/4,2014/3/31,46,256766,13,0.764737193
2004/12/4,2014/3/31,54,160825,38,1.20853437
2010/12/11,2014/3/31,21,185493,22,1.029507529
2012/7/13,2014/3/31,110,187588,1,1.015978367
2006/7/16,2014/3/31,134,140356,7,1.356053179
2005/1/26,2014/3/31,107,135811,2,1.398992423
2010/7/15,2014/3/31,70,219282,304,0.863479447
2008/5/21,2014/3/31,189,235687,1,0.802633323
2012/1/8,2014/3/31,87,132283,4,1.425177007
2006/11/18,2014/3/31,29,211369,11,0.888869986
2007/12/10,2014/3/31,48,130135,1,1.408197795
2007/7/6,2014/3/31,68,135374,1,1.349375212
2004/12/3,2014/3/31,111,216560,4,0.828452854
2007/11/26,2014/3/31,69,131660,22,1.354943567
2008/2/2,2014/3/31,126,204371,4,0.867522349
2004/12/28,2014/3/31,55,153868,15,1.146000598
2005/1/26,2014/3/31,76,214921,21,0.819187329
2005/2/17,2014/3/31,68,127335,15,1.380410335
2004/11/19,2014/3/31,77,136121,1,1.288018381
2010/6/9,2014/3/31,84,186821,6,0.938031056
2011/5/14,2014/3/31,96,204612,14,0.848239546
2010/5/28,2014/3/31,30,164001,8,1.057257212
2005/8/13,2014/3/31,85,121097,19,1.426106262
2007/11/15,2014/3/31,32,182563,88,0.944650121
2010/7/10,2014/3/31,34,170121,19,1.013669976
2010/10/30,2014/3/31,197,275800,1,0.620507614
2008/12/14,2014/3/31,30,184194,7,0.928504294
2012/8/15,2014/3/31,18,209911,62,0.811871079
2009/10/19,2014/3/31,64,137636,19,1.236256939
2011/12/21,2014/3/31,149,219108,4,0.774487057
2007/11/18,2014/3/31,61,143186,13,1.183962818
2010/10/13,2014/3/31,36,209839,36,0.806177069
2010/8/14,2014/3/31,22,170406,22,0.992454374
2013/3/15,2014/3/31,23,169224,29,0.995539285
2011/6/9,2014/3/31,16,163191,18,1.019520072
2010/10/26,2014/3/31,102,140220,8,1.179368992
2005/10/21,2014/3/31,81,159255,6,1.034587737
2012/6/29,2014/3/31,30,208687,6,0.782406571
2006/7/13,2014/3/31,127,170611,12,0.956332827
2008/9/19,2014/3/31,56,116728,2,1.394863786
2012/4/25,2014/3/31,79,208797,1,0.777341772
2005/2/17,2014/3/31,97,155881,9,1.036667137
2004/11/18,2014/3/31,158,205159,2,0.784701427
2006/5/8,2014/3/31,64,115300,7,1.391299306
2010/7/3,2014/3/31,51,137500,13,1.165835855
2007/6/28,2014/3/31,29,157056,144,1.017859044
2007/10/5,2014/3/31,69,114077,1,1.387490292
2008/6/13,2014/3/31,88,122619,15,1.281481989
2011/1/31,2014/3/31,42,162453,15,0.966069448
2007/1/26,2014/3/31,129,109813,10,1.429138536
2006/11/28,2014/3/31,67,123464,14,1.265322199
2010/4/13,2014/3/31,12,146784,53,1.059166667
2004/11/26,2014/3/31,100,162250,4,0.952273652
2005/9/23,2014/3/31,69,118726,11,1.297050351
2011/4/14,2014/3/31,17,125349,34,1.226505277
2004/11/11,2014/3/31,12,146784,9,1.046666667
2012/4/27,2014/3/31,54,144562,4,1.053910364
2008/7/28,2014/3/31,79,123985,21,1.228445376
2008/9/8,2014/3/31,87,105119,5,1.445489778
2012/4/28,2014/3/31,53,144682,17,1.046215562
2007/1/3,2014/3/31,92,134823,17,1.118316089
2010/5/26,2014/3/31,48,150537,11,1.001144569
2005/10/22,2014/3/31,90,108184,3,1.390945611
2009/1/18,2014/3/31,56,104663,9,1.435274261
2005/4/5,2014/3/31,146,191328,4,0.783239829
2011/9/14,2014/3/31,35,167150,15,0.894261083
2011/10/9,2014/3/31,33,174046,63,0.85318887
2005/8/26,2014/3/31,142,177357,7,0.835532119
2010/11/17,2014/3/31,31,204438,44,0.723434195
2006/11/28,2014/3/31,53,102999,29,1.434114409
2007/5/31,2014/3/31,21,159605,14,0.925114251
2012/6/7,2014/3/31,16,195712,27,0.75375
2004/11/25,2014/3/31,85,155704,3,0.946174922
2004/11/24,2014/3/31,71,119961,22,1.225504039
2008/8/23,2014/3/31,130,167593,2,0.873661907
2010/5/7,2014/3/31,89,149557,4,0.978068228
2005/7/29,2014/3/31,83,103087,11,1.411593411
2004/12/2,2014/3/31,99,162215,2,0.896966187
2005/3/16,2014/3/31,40,198627,27,0.731685018
2008/5/30,2014/3/31,52,99524,11,1.458000784
2005/12/29,2014/3/31,65,119794,10,1.210876087
2005/4/23,2014/3/31,34,151642,3,0.951756044
2006/8/14,2014/3/31,83,149993,6,0.960765569
2011/11/14,2014/3/31,65,109089,24,1.318943707
2012/12/20,2014/3/31,18,146238,23,0.982511386
2007/6/8,2014/3/31,66,102689,4,1.39722054
2006/4/17,2014/3/31,52,105167,2,1.356986792
2011/3/15,2014/3/31,27,182561,38,0.780547269
2004/11/30,2014/3/31,193,209912,1,0.675609779
2012/6/26,2014/3/31,65,184730,6,0.764
2012/4/11,2014/3/31,14,144708,59,0.97367319
2009/10/19,2014/3/31,24,213058,11,0.658633893
2010/10/9,2014/3/31,89,177556,17,0.787337009
2008/6/20,2014/3/31,57,98104,8,1.42497258
2009/11/13,2014/3/31,101,140188,12,0.996902945
2013/3/3,2014/3/31,19,155552,16,0.897522308
2006/6/29,2014/3/31,95,140931,24,0.988949912
2008/4/1,2014/3/31,85,97855,7,1.423453171
2004/11/24,2014/3/31,108,169746,22,0.817685954
2004/11/26,2014/3/31,64,97250,4,1.426656247
2005/4/2,2014/3/31,113,204853,3,0.674381581
2009/8/27,2014/3/31,31,95766,1,1.438600025
2005/11/16,2014/3/31,79,129119,5,1.065611103
2012/5/2,2014/3/31,109,163010,17,0.843554751
2009/3/29,2014/3/31,19,201613,18,0.681331859
2009/6/4,2014/3/31,120,172352,25,0.790287551
2006/4/15,2014/3/31,45,116917,1,1.154155854
2007/5/8,2014/3/31,19,136374,135,0.988910129
2010/5/27,2014/3/31,22,135717,184,0.993493225
2009/12/27,2014/3/31,80,105118,15,1.277942503
2006/12/25,2014/3/31,82,106666,6,1.255920537
2010/8/8,2014/3/31,90,179472,12,0.744693267
2010/8/6,2014/3/31,17,143287,157,0.931991388
2006/9/15,2014/3/31,39,97116,9,1.374724556
2008/5/5,2014/3/31,102,102961,11,1.295748779
2004/11/24,2014/3/31,90,158149,11,0.843185667
2005/1/22,2014/3/31,125,176585,7,0.75433474
2007/2/7,2014/3/31,77,94142,23,1.414713624
2004/12/7,2014/3/31,79,157844,6,0.843179595
2006/11/9,2014/3/31,116,165365,13,0.802227557
2011/1/19,2014/3/31,58,91515,15,1.448642081
